caseId,justice,term,direction,precedentAlteration,issueArea,lawType,caseOriginState
2005-029,112,2005,2,0,8,6,0
2005-030,112,2005,2,0,2,3,0
2005-031,112,2005,2,0,9,0,0
2005-044,112,2005,1,0,2,3,0
2005-045,112,2005,2,0,1,6,0
2005-046,112,2005,1,0,8,2,0
2005-047,112,2005,1,0,1,3,0
2005-050,112,2005,2,0,2,3,0
2005-051,112,2005,2,0,9,6,0
2005-052,112,2005,2,0,4,2,48
2005-053,112,2005,1,0,9,1,0
2005-054,112,2005,1,0,8,3,0
2005-055,112,2005,2,0,8,3,23
2005-056,112,2005,2,0,8,6,0
2005-057,112,2005,1,0,1,2,52
2005-058,112,2005,1,0,3,2,0
2005-059,112,2005,1,0,9,3,0
2005-060,112,2005,2,0,1,6,0
2005-062,112,2005,1,0,9,0,0
2005-064,112,2005,2,0,2,3,0
2005-065,112,2005,1,0,1,2,27
2005-066,112,2005,1,0,9,6,0
2005-067,112,2005,1,0,8,3,0
2005-068,112,2005,2,0,9,6,0
2005-069,112,2005,1,0,8,3,0
2005-070,112,2005,1,0,1,2,56
2005-071,112,2005,1,0,1,2,6
2005-072,112,2005,2,0,1,0,57
2005-073,112,2005,1,0,4,2,0
2005-074,112,2005,1,0,2,3,0
2005-075,112,2005,2,0,2,3,0
2005-076,112,2005,1,0,9,6,0
2005-077,112,2005,1,0,9,0,0
2005-078,112,2005,1,0,1,2,0
2005-079,112,2005,1,0,1,2,20
2005-080,112,2005,1,0,1,5,56
2005-081,112,2005,1,0,3,2,0
2005-082,112,2005,1,0,6,3,0
2005-083,112,2005,1,0,1,5,43
2005-084,112,2005,1,0,2,3,0
2005-086,112,2005,1,0,1,3,0
2005-087,112,2005,1,0,4,2,4
2006-001,112,2006,1,0,9,0,0
2006-002,112,2006,1,0,1,2,0
2006-003,112,2006,2,0,2,3,0
2006-004,112,2006,1,0,9,0,0
2006-005,112,2006,1,0,1,0,0
2006-006,112,2006,2,0,9,6,0
2006-007,112,2006,1,0,1,6,0
2006-008,112,2006,2,0,9,1,0
2006-009,112,2006,1,0,1,6,0
2006-010,112,2006,1,0,8,3,30
2006-011,112,2006,1,0,2,3,0
2006-012,112,2006,2,0,1,6,0
2006-013,112,2006,2,0,9,6,0
2006-014,112,2006,1,0,1,2,6
2006-015,112,2006,1,0,8,3,0
2006-016,112,2006,1,0,1,3,0
2006-017,112,2006,1,0,8,2,43
2006-018,112,2006,2,0,8,3,0
2006-019,112,2006,1,0,2,3,0
