caseId,justice,term,direction,precedentAlteration,issueArea,lawType,caseOriginState
1987-048,106,1987,2,0,9,4,0
1987-057,106,1987,2,0,10,1,5
1987-058,106,1987,2,0,9,3,0
1987-059,106,1987,1,0,7,6,0
1987-062,106,1987,2,0,4,2,42
1987-063,106,1987,1,0,10,6,0
1987-069,106,1987,1,0,7,3,0
1987-071,106,1987,1,0,9,5,0
1987-072,106,1987,1,0,1,4,0
1987-076,106,1987,2,0,9,0,0
1987-078,106,1987,2,0,8,1,22
1987-080,106,1987,2,0,10,6,0
1987-082,106,1987,2,0,8,3,0
1987-084,106,1987,1,0,7,3,0
1987-085,106,1987,2,0,8,6,0
1987-086,106,1987,1,0,1,2,0
1987-088,106,1987,2,0,9,6,0
1987-089,106,1987,2,0,8,3,0
1987-090,106,1987,2,0,1,4,0
1987-091,106,1987,1,0,4,6,0
1987-093,106,1987,1,0,8,1,41
1987-094,106,1987,2,0,8,6,0
1987-098,106,1987,1,0,8,3,45
1987-099,106,1987,2,0,1,2,0
1987-100,106,1987,1,0,1,8,25
1987-101,106,1987,1,0,10,3,0
1987-102,106,1987,2,0,3,2,0
1987-104,106,1987,2,0,2,2,45
1987-105,106,1987,2,0,6,2,21
1987-106,106,1987,2,0,8,0,0
1987-107,106,1987,1,0,9,6,0
1987-108,106,1987,1,0,8,3,0
1987-110,106,1987,1,0,1,2,27
1987-111,106,1987,2,0,1,2,29
1987-114,106,1987,2,0,8,3,0
1987-115,106,1987,1,0,1,0,4
1987-116,106,1987,1,0,4,5,17
1987-119,106,1987,1,0,9,6,0
1987-120,106,1987,2,0,10,3,13
1987-121,106,1987,2,0,4,6,0
1987-123,106,1987,2,0,4,1,0
1987-124,106,1987,2,0,2,1,37
1987-125,106,1987,2,0,9,6,0
1987-126,106,1987,2,0,2,3,0
1987-127,106,1987,2,0,2,1,0
1987-128,106,1987,1,0,9,0,0
1987-129,106,1987,1,0,1,2,42
1987-130,106,1987,2,0,1,2,0
1987-131,106,1987,2,0,10,3,58
1987-132,106,1987,1,0,1,2,0
1987-133,106,1987,1,0,1,2,0
1987-134,106,1987,1,0,2,0,0
1987-135,106,1987,1,0,1,4,0
1987-136,106,1987,1,0,1,4,0
1987-137,106,1987,1,0,1,2,17
1987-138,106,1987,1,0,9,4,0
1987-139,106,1987,1,0,1,6,0
1987-140,106,1987,1,0,8,3,29
1987-141,106,1987,1,0,8,3,0
1987-142,106,1987,2,0,8,3,0
1987-143,106,1987,1,0,2,5,39
1987-144,106,1987,1,0,3,2,0
1987-145,106,1987,1,0,8,0,0
1987-148,106,1987,1,0,3,6,0
1987-151,106,1987,2,0,3,2,0
1987-154,106,1987,1,0,9,3,0
1987-155,106,1987,2,0,1,6,0
1988-001,106,1988,1,0,6,3,0
1988-002,106,1988,1,0,1,2,45
1988-003,106,1988,2,0,2,3,0
1988-004,106,1988,1,0,10,6,19
1988-005,106,1988,1,0,1,2,0
