,justice,justiceName,majVotes,direction,minVotes,decisionDirection,majority,caseId,term,partyWinning,precedentAlteration,vote,issueArea
75,80,FFrankfurter,9,1,0,1,2,1946-009,1946,1,0,1,7
76,79,SFReed,9,1,0,1,2,1946-009,1946,1,0,1,7
77,78,HLBlack,9,1,0,1,2,1946-009,1946,1,0,1,7
78,85,WBRutledge,9,1,0,1,2,1946-009,1946,1,0,1,7
79,82,FMurphy,9,1,0,1,2,1946-009,1946,1,0,1,7
80,87,FMVinson,9,1,0,1,2,1946-009,1946,1,0,1,7
81,86,HHBurton,8,2,0,2,2,1946-010,1946,0,0,3,8
82,84,RHJackson,8,2,0,2,2,1946-010,1946,0,0,3,8
83,81,WODouglas,8,2,0,2,2,1946-010,1946,0,0,1,8
84,80,FFrankfurter,8,2,0,2,2,1946-010,1946,0,0,3,8
85,79,SFReed,8,0,0,2,0,1946-010,1946,0,0,0,8
86,78,HLBlack,8,2,0,2,2,1946-010,1946,0,0,1,8
87,85,WBRutledge,8,2,0,2,2,1946-010,1946,0,0,1,8
88,82,FMurphy,8,2,0,2,2,1946-010,1946,0,0,1,8
89,87,FMVinson,8,2,0,2,2,1946-010,1946,0,0,1,8
90,86,HHBurton,5,1,4,1,2,1946-011,1946,0,0,1,1
91,84,RHJackson,5,1,4,1,2,1946-011,1946,0,0,1,1
92,81,WODouglas,5,2,4,1,1,1946-011,1946,0,0,2,1
93,80,FFrankfurter,5,1,4,1,2,1946-011,1946,0,0,1,1
94,79,SFReed,5,1,4,1,2,1946-011,1946,0,0,1,1
95,78,HLBlack,5,2,4,1,1,1946-011,1946,0,0,2,1
96,85,WBRutledge,5,2,4,1,1,1946-011,1946,0,0,2,1
97,82,FMurphy,5,2,4,1,1,1946-011,1946,0,0,2,1
98,87,FMVinson,5,1,4,1,2,1946-011,1946,0,0,1,1
99,86,HHBurton,6,1,3,2,1,1946-012,1946,1,0,2,2
100,84,RHJackson,6,2,3,2,2,1946-012,1946,1,0,4,2
101,81,WODouglas,6,2,3,2,2,1946-012,1946,1,0,1,2
102,80,FFrankfurter,6,1,3,2,1,1946-012,1946,1,0,2,2
103,79,SFReed,6,2,3,2,2,1946-012,1946,1,0,1,2
104,78,HLBlack,6,2,3,2,2,1946-012,1946,1,0,1,2
105,85,WBRutledge,6,2,3,2,2,1946-012,1946,1,0,1,2
106,82,FMurphy,6,2,3,2,2,1946-012,1946,1,0,1,2
107,87,FMVinson,6,1,3,2,1,1946-012,1946,1,0,2,2
108,86,HHBurton,9,1,0,1,2,1946-013,1946,1,0,1,1
109,84,RHJackson,9,1,0,1,2,1946-013,1946,1,0,1,1
110,81,WODouglas,9,1,0,1,2,1946-013,1946,1,0,1,1
111,80,FFrankfurter,9,1,0,1,2,1946-013,1946,1,0,1,1
112,79,SFReed,9,1,0,1,2,1946-013,1946,1,0,1,1
113,78,HLBlack,9,1,0,1,2,1946-013,1946,1,0,1,1
114,85,WBRutledge,9,1,0,1,2,1946-013,1946,1,0,1,1
115,82,FMurphy,9,1,0,1,2,1946-013,1946,1,0,1,1
116,87,FMVinson,9,1,0,1,2,1946-013,1946,1,0,1,1
117,86,HHBurton,9,2,0,2,2,1946-014,1946,1,0,1,1
118,84,RHJackson,9,2,0,2,2,1946-014,1946,1,0,1,1
119,81,WODouglas,9,2,0,2,2,1946-014,1946,1,0,1,1
120,80,FFrankfurter,9,2,0,2,2,1946-014,1946,1,0,1,1
121,79,SFReed,9,2,0,2,2,1946-014,1946,1,0,1,1
122,78,HLBlack,9,2,0,2,2,1946-014,1946,1,0,1,1
123,85,WBRutledge,9,2,0,2,2,1946-014,1946,1,0,1,1
124,82,FMurphy,9,2,0,2,2,1946-014,1946,1,0,1,1
125,87,FMVinson,9,2,0,2,2,1946-014,1946,1,0,1,1
126,86,HHBurton,8,2,0,2,2,1946-015,1946,1,0,1,8
127,84,RHJackson,8,2,0,2,2,1946-015,1946,1,0,1,8
128,81,WODouglas,8,2,0,2,2,1946-015,1946,1,0,1,8
129,80,FFrankfurter,8,2,0,2,2,1946-015,1946,1,0,1,8
130,79,SFReed,8,2,0,2,2,1946-015,1946,1,0,1,8
131,78,HLBlack,8,0,0,2,0,1946-015,1946,1,0,0,8
132,85,WBRutledge,8,2,0,2,2,1946-015,1946,1,0,1,8
133,82,FMurphy,8,2,0,2,2,1946-015,1946,1,0,1,8
134,87,FMVinson,8,2,0,2,2,1946-015,1946,1,0,1,8
135,86,HHBurton,9,2,0,2,2,1946-016,1946,1,0,1,4
136,84,RHJackson,9,2,0,2,2,1946-016,1946,1,0,1,4
137,81,WODouglas,9,2,0,2,2,1946-016,1946,1,0,4,4
138,80,FFrankfurter,9,2,0,2,2,1946-016,1946,1,0,1,4
139,79,SFReed,9,2,0,2,2,1946-016,1946,1,0,1,4
140,78,HLBlack,9,2,0,2,2,1946-016,1946,1,0,1,4
141,85,WBRutledge,9,2,0,2,2,1946-016,1946,1,0,1,4
142,82,FMurphy,9,2,0,2,2,1946-016,1946,1,0,1,4
