caseId,justice,term,direction,precedentAlteration,issueArea,lawType,caseOriginState
1991-010,108,1991,1,0,9,5,12
1991-013,108,1991,1,0,8,3,0
1991-015,108,1991,1,0,2,3,0
1991-019,108,1991,1,0,1,0,0
1991-020,108,1991,2,0,9,4,0
1991-021,108,1991,2,0,2,6,0
1991-023,108,1991,1,0,8,3,0
1991-025,108,1991,1,0,1,2,17
1991-028,108,1991,1,0,9,1,0
1991-029,108,1991,1,0,2,3,0
1991-030,108,1991,1,0,2,3,0
1991-031,108,1991,1,0,7,3,0
1991-032,108,1991,1,0,1,2,0
1991-033,108,1991,1,0,8,3,0
1991-034,108,1991,2,0,12,3,0
1991-035,108,1991,2,0,2,3,0
1991-036,108,1991,2,0,12,3,0
1991-037,108,1991,2,0,8,3,0
1991-038,108,1991,1,0,2,3,0
1991-039,108,1991,2,0,9,4,0
1991-040,108,1991,2,0,9,0,0
1991-041,108,1991,1,0,3,2,9
1991-042,108,1991,2,0,8,1,27
1991-043,108,1991,2,0,1,6,0
1991-044,108,1991,1,0,1,0,0
1991-045,108,1991,2,0,9,6,0
1991-046,108,1991,1,0,9,0,0
1991-047,108,1991,1,0,9,3,0
1991-048,108,1991,1,0,2,6,0
1991-049,108,1991,1,0,8,3,0
1991-050,108,1991,1,0,1,6,0
1991-051,108,1991,1,0,9,3,0
1991-052,108,1991,1,0,1,2,0
1991-053,108,1991,2,0,8,3,0
1991-054,108,1991,2,0,9,6,0
1991-055,108,1991,1,0,8,1,0
1991-056,108,1991,2,0,2,1,0
1991-058,108,1991,2,0,4,2,6
1991-059,108,1991,2,0,1,0,0
1991-060,108,1991,2,0,9,0,51
1991-061,108,1991,2,0,10,6,0
1991-062,108,1991,2,0,10,6,20
1991-063,108,1991,1,0,8,3,0
1991-064,108,1991,2,0,8,3,0
1991-065,108,1991,1,0,1,0,0
1991-066,108,1991,1,1,1,0,0
1991-067,108,1991,1,0,2,6,0
1991-068,108,1991,2,0,1,0,0
1991-069,108,1991,1,0,4,2,22
1991-070,108,1991,1,0,1,2,33
1991-071,108,1991,1,0,2,3,0
1991-072,108,1991,1,0,1,6,0
1991-073,108,1991,1,0,1,0,0
1991-075,108,1991,1,0,12,3,0
1991-076,108,1991,1,0,8,6,0
1991-077,108,1991,1,1,8,2,39
1991-078,108,1991,1,0,8,1,1
1991-079,108,1991,1,0,8,1,0
1991-080,108,1991,2,0,10,6,0
1991-081,108,1991,1,0,2,2,0
1991-082,108,1991,1,0,8,4,0
1991-083,108,1991,1,0,12,6,0
1991-084,108,1991,1,0,1,2,12
1991-085,108,1991,1,0,9,1,0
1991-086,108,1991,2,0,9,6,0
1991-087,108,1991,1,0,8,0,0
1991-088,108,1991,2,0,9,2,31
1991-089,108,1991,1,0,1,5,0
1991-090,108,1991,2,0,2,6,0
1991-091,108,1991,1,0,1,2,17
1991-092,108,1991,2,0,8,3,0
1991-093,108,1991,2,0,8,1,35
1991-094,108,1991,2,0,8,2,6
1991-095,108,1991,2,0,2,2,13
1991-096,108,1991,1,0,8,1,19
1991-097,108,1991,2,0,8,3,0
1991-098,108,1991,1,0,3,2,0
1991-099,108,1991,1,0,10,1,0
1991-100,108,1991,2,0,8,6,58
1991-101,108,1991,2,0,9,6,0
1991-102,108,1991,1,0,1,0,0
1991-103,108,1991,1,0,1,4,0
1991-104,108,1991,1,0,1,0,0
1991-105,108,1991,2,0,3,2,28
1991-106,108,1991,1,0,4,2,6
1991-107,108,1991,1,0,8,3,0
1991-108,108,1991,2,0,10,6,0
1991-109,108,1991,1,0,6,3,0
1991-110,108,1991,1,0,3,2,0
1991-111,108,1991,1,0,1,2,0
1991-112,108,1991,1,0,3,2,0
1991-113,108,1991,2,0,2,2,0
1991-114,108,1991,1,0,8,6,0
1991-115,108,1991,1,0,9,3,0
1991-116,108,1991,1,0,3,2,0
1991-117,108,1991,1,1,5,2,0
1991-118,108,1991,1,0,4,2,48
1991-119,108,1991,2,0,1,2,12
1991-120,108,1991,1,0,5,0,0
1992-001,108,1992,1,0,2,4,0
1992-002,108,1992,1,0,9,5,31
1992-003,108,1992,2,0,9,0,0
1992-004,108,1992,1,0,9,5,0
1992-005,108,1992,1,0,1,2,0
1992-006,108,1992,2,0,1,2,0
1992-007,108,1992,2,0,1,2,0
1992-008,108,1992,2,0,9,6,0
1992-009,108,1992,2,0,9,1,0
1992-010,108,1992,1,0,6,3,0
1992-011,108,1992,2,0,10,3,0
1992-012,108,1992,2,0,9,0,0
1992-013,108,1992,2,0,8,3,0
1992-014,108,1992,2,0,12,3,0
1992-015,108,1992,2,0,2,6,0
1992-016,108,1992,1,0,9,0,0
1992-017,108,1992,2,0,1,4,0
1992-018,108,1992,1,0,2,3,0
1992-019,108,1992,2,0,1,0,0
1992-020,108,1992,1,0,1,2,0
1992-021,108,1992,1,0,1,2,0
1992-022,108,1992,1,0,8,3,0
1992-023,108,1992,1,0,1,0,0
1992-024,108,1992,2,0,12,3,0
1992-025,108,1992,1,0,1,4,0
1992-026,108,1992,2,0,12,3,0
1992-027,108,1992,1,0,1,2,0
1992-029,108,1992,1,0,9,3,0
1992-030,108,1992,1,0,1,6,27
1992-031,108,1992,2,0,8,1,50
1992-032,108,1992,1,0,1,6,0
1992-033,108,1992,1,0,2,6,0
1992-034,108,1992,2,0,1,6,0
1992-035,108,1992,1,0,2,3,0
1992-036,108,1992,2,0,2,4,0
1992-037,108,1992,1,0,8,3,0
1992-038,108,1992,2,0,8,3,0
1992-039,108,1992,1,0,10,3,0
1992-040,108,1992,1,0,1,0,0
1992-041,108,1992,2,0,9,3,0
1992-042,108,1992,1,0,1,2,0
1992-043,108,1992,1,0,2,4,0
1992-044,108,1992,1,0,2,2,0
1992-045,108,1992,2,0,8,6,0
1992-046,108,1992,2,0,8,3,0
1992-047,108,1992,1,0,3,2,0
1992-048,108,1992,1,0,12,3,0
1992-049,108,1992,1,0,1,2,0
1992-051,108,1992,2,0,2,6,23
1992-052,108,1992,2,0,10,6,0
1992-053,108,1992,1,0,9,0,0
1992-054,108,1992,1,0,12,3,0
1992-056,108,1992,1,0,2,3,0
1992-057,108,1992,1,0,1,0,0
1992-058,108,1992,1,0,10,6,0
1992-059,108,1992,1,0,1,0,0
