caseId,justice,term,direction,precedentAlteration,issueArea,lawType,caseOriginState
2016-063,115,2016,1,0,9,6,0
2016-064,115,2016,1,0,9,1,0
2016-065,115,2016,1,0,9,3,0
2016-066,115,2016,1,0,8,3,0
2016-067,115,2016,1,0,8,6,0
2016-068,115,2016,2,0,3,2,0
2016-069,115,2016,1,0,2,2,26
2016-070,115,2016,1,0,1,3,0
2016-071,115,2016,1,0,1,3,0
2016-072,115,2016,1,0,4,2,6
2016-073,115,2016,1,0,4,2,31
2016-074,115,2016,2,0,8,6,0
2016-075,115,2016,2,0,2,6,0
2016-078,115,2016,1,0,2,9,0
2016-079,115,2016,1,0,1,6,0
2016-080,115,2016,1,0,1,3,0
2016-081,115,2016,1,0,4,2,5
2017-001,115,2017,2,0,4,2,0
2017-002,115,2017,1,0,7,3,0
2017-003,115,2017,1,0,2,3,0
2017-004,115,2017,1,0,9,1,0
2017-005,115,2017,2,0,1,9,0
2017-006,115,2017,1,0,8,6,0
2017-008,115,2017,2,0,9,4,0
2017-009,115,2017,1,0,9,3,0
2017-010,115,2017,1,0,9,6,0
2017-011,115,2017,2,0,2,6,0
2017-012,115,2017,1,0,1,6,0
2017-013,115,2017,2,0,8,3,0
2017-014,115,2017,1,0,9,6,10
2017-016,115,2017,2,0,8,3,0
2017-017,115,2017,2,0,9,1,0
2017-018,115,2017,1,0,2,6,0
2017-019,115,2017,2,0,8,3,6
2017-020,115,2017,1,0,2,2,7
2017-021,115,2017,1,0,1,2,0
2017-022,115,2017,1,0,10,6,0
2017-023,115,2017,1,0,8,6,0
2017-024,115,2017,1,0,8,1,0
2017-025,115,2017,2,0,8,6,0
2017-026,115,2017,1,0,6,6,0
2017-027,115,2017,2,0,1,3,0
2017-028,115,2017,1,0,8,6,0
2017-029,115,2017,1,0,1,6,0
2017-030,115,2017,1,0,1,6,0
2017-033,115,2017,2,0,1,2,0
2017-037,115,2017,2,0,9,4,0
2017-038,115,2017,1,0,9,6,0
2017-039,115,2017,1,0,1,2,22
2017-040,115,2017,1,0,7,3,0
2017-041,115,2017,1,0,5,2,0
2017-042,115,2017,1,0,1,2,55
2017-043,115,2017,2,0,3,2,0
2017-044,115,2017,1,0,8,3,0
2017-045,115,2017,1,1,7,2,0
2017-047,115,2017,2,0,1,4,0
2017-048,115,2017,1,0,9,6,0
2017-049,115,2017,2,0,3,2,0
2017-051,115,2017,1,0,1,4,0
2017-052,115,2017,1,0,9,9,0
2017-054,115,2017,1,0,14,9,0
2017-056,115,2017,1,0,9,9,0
2017-057,115,2017,1,0,12,6,0
2017-058,115,2017,2,0,8,6,0
2017-059,115,2017,2,1,8,1,49
2017-060,115,2017,2,0,8,3,0
2017-061,115,2017,2,0,1,6,0
2017-063,115,2017,1,0,8,1,0
2017-064,115,2017,2,0,2,9,56
2017-065,115,2017,1,0,9,1,0
2017-066,115,2017,1,0,9,9,0
2017-067,115,2017,2,0,1,6,0
2017-068,115,2017,1,0,1,6,0
2017-070,115,2017,2,0,2,6,0
2017-072,115,2017,1,0,2,3,0
2017-073,115,2017,2,0,9,4,0
2017-074,115,2017,1,1,2,3,0
2017-075,115,2017,2,0,1,2,55
2017-076,115,2017,1,0,9,9,0
2017-077,115,2017,2,0,2,2,0
2017-078,115,2017,2,0,2,6,0
2017-079,115,2017,1,0,1,6,0
