justice,caseId,term,majVotes,minVotes,decisionDirection,direction,majority,partyWinning,precedentAlteration,vote,issueArea
91,1960-133,1960,6,3,2,1,1,1,1,2,1
78,1960-133,1960,6,3,2,2,2,1,1,3,1
81,1960-133,1960,6,3,2,2,2,1,1,3,1
94,1960-133,1960,6,3,2,2,2,1,1,4,1
92,1960-133,1960,6,3,2,2,2,1,1,1,1
90,1960-133,1960,6,3,2,2,2,1,1,1,1
88,1960-133,1960,6,3,2,2,2,1,1,1,1
80,1960-133,1960,6,3,2,1,1,1,1,2,1
93,1960-133,1960,6,3,2,1,1,1,1,2,1
