caseId,justice,term,direction,precedentAlteration,issueArea,lawType,caseOriginState
2010-001,114,2010,1,0,1,3,0
2010-005,114,2010,1,0,2,9,0
2010-007,114,2010,1,0,8,3,0
2010-011,114,2010,1,0,1,3,0
2010-012,114,2010,1,0,8,3,0
2010-013,114,2010,2,0,2,3,0
2010-016,114,2010,1,0,8,6,0
2010-017,114,2010,1,0,2,8,0
2010-023,114,2010,2,0,3,2,0
2010-025,114,2010,2,0,1,3,0
2010-026,114,2010,2,0,5,3,0
2010-027,114,2010,2,0,2,3,0
2010-028,114,2010,1,0,2,3,0
2010-030,114,2010,2,0,8,3,0
2010-031,114,2010,2,0,2,3,0
2010-034,114,2010,2,0,9,2,0
2010-035,114,2010,2,0,1,3,0
2010-038,114,2010,1,0,1,9,0
2010-040,114,2010,2,0,8,3,0
2010-043,114,2010,1,0,8,3,0
2010-044,114,2010,1,0,1,2,21
2010-045,114,2010,1,0,5,0,0
2010-046,114,2010,2,0,1,2,0
2010-049,114,2010,2,0,1,6,0
2010-050,114,2010,2,0,9,1,0
2010-051,114,2010,2,0,8,6,0
2010-053,114,2010,1,0,6,3,0
2010-054,114,2010,1,0,1,6,0
2010-055,114,2010,1,0,8,6,0
2010-056,114,2010,2,0,9,4,0
2010-057,114,2010,2,0,8,6,0
2010-058,114,2010,1,0,1,6,0
2010-060,114,2010,2,0,1,6,0
2010-063,114,2010,2,0,8,3,0
2010-064,114,2010,1,0,3,2,33
2010-065,114,2010,2,1,9,1,0
2010-066,114,2010,1,0,1,5,0
2010-067,114,2010,2,0,1,2,38
2010-068,114,2010,1,0,10,6,0
2010-069,114,2010,2,0,1,6,0
2010-070,114,2010,2,0,9,4,0
2010-071,114,2010,1,0,3,2,0
2010-072,114,2010,1,0,8,3,0
2010-073,114,2010,2,0,1,2,48
2010-074,114,2010,2,0,8,3,0
2010-075,114,2010,2,0,1,2,36
2010-076,114,2010,1,0,10,1,0
2010-077,114,2010,1,0,3,2,0
2010-078,114,2010,2,0,1,6,0
2010-081,114,2010,2,0,4,2,38
2010-082,114,2010,1,0,4,2,35
2010-083,114,2010,2,0,3,2,0
2010-084,114,2010,2,0,3,2,0
2010-085,114,2010,2,0,1,2,0
2010-086,114,2010,1,0,9,9,37
2011-001,114,2011,1,0,1,3,0
2011-002,114,2011,1,0,1,3,0
2011-003,114,2011,1,0,1,2,0
2011-004,114,2011,1,0,8,6,12
2011-005,114,2011,1,0,9,3,0
2011-006,114,2011,1,0,1,2,0
2011-007,114,2011,1,0,8,6,0
2011-008,114,2011,2,0,1,2,22
2011-009,114,2011,1,0,1,2,34
2011-010,114,2011,2,0,8,3,0
2011-011,114,2011,2,0,3,2,0
2011-012,114,2011,1,0,1,2,0
2011-013,114,2011,2,0,2,3,0
2011-014,114,2011,2,0,8,6,0
2011-016,114,2011,2,0,2,9,0
2011-017,114,2011,2,0,1,6,0
2011-018,114,2011,2,0,1,2,0
2011-019,114,2011,2,0,10,6,0
2011-020,114,2011,2,0,1,2,0
2011-021,114,2011,1,0,2,3,0
2011-022,114,2011,2,0,2,3,0
2011-023,114,2011,1,0,1,2,0
2011-024,114,2011,2,0,1,9,0
2011-025,114,2011,1,0,8,6,57
2011-026,114,2011,2,0,2,2,0
2011-027,114,2011,1,0,8,9,31
2011-028,114,2011,2,0,2,1,0
2011-029,114,2011,2,0,10,6,0
2011-030,114,2011,1,0,2,6,0
2011-031,114,2011,2,0,2,9,0
2011-032,114,2011,2,0,10,2,0
2011-033,114,2011,1,0,8,3,0
2011-034,114,2011,2,0,8,6,0
2011-036,114,2011,1,0,8,3,0
2011-037,114,2011,2,0,13,6,0
2011-038,114,2011,2,0,2,2,0
2011-039,114,2011,2,0,2,2,30
2011-040,114,2011,2,0,8,3,0
2011-041,114,2011,2,0,9,6,0
2011-042,114,2011,2,0,2,6,0
2011-044,114,2011,1,0,9,9,0
2011-045,114,2011,1,0,2,3,0
2011-046,114,2011,2,0,1,2,0
2011-047,114,2011,2,0,8,6,0
2011-048,114,2011,1,0,2,3,0
2011-049,114,2011,1,0,8,6,0
2011-050,114,2011,2,0,8,6,0
2011-051,114,2011,2,0,1,3,0
2011-052,114,2011,2,0,12,3,0
2011-053,114,2011,1,0,12,3,0
2011-054,114,2011,1,0,2,3,0
2011-055,114,2011,1,0,9,6,0
2011-056,114,2011,1,0,2,3,0
2011-057,114,2011,2,0,1,2,4
2011-058,114,2011,1,0,8,6,0
2011-059,114,2011,1,0,2,3,0
2011-060,114,2011,1,0,1,3,0
2011-062,114,2011,1,0,8,2,18
2011-063,114,2011,1,0,1,3,0
2011-064,114,2011,2,0,9,6,0
2011-065,114,2011,1,0,9,6,0
2011-066,114,2011,2,0,2,6,0
2011-067,114,2011,2,0,7,3,0
2011-068,114,2011,2,0,1,2,17
2011-069,114,2011,2,0,1,6,0
2011-070,114,2011,2,0,7,2,0
2011-071,114,2011,2,0,1,6,0
2011-072,114,2011,2,0,4,2,0
2011-073,114,2011,1,0,3,2,31
2011-074,114,2011,2,0,1,2,1
2011-076,114,2011,2,0,3,6,0
2011-077,114,2011,2,0,10,1,0
2012-002,114,2012,2,0,6,3,0
2012-003,114,2012,1,0,7,3,42
